id	bibliographicCitation	title	creator	date	source	type
1219980	Handlirsch. 1906. Die Fossilen Insecten und die Phylogenie der rezenten Formen: Ein Handbuch fur Palaontologen und Zoologen. Engelman	Die Fossilen Insecten und die Phylogenie der rezenten Formen: Ein Handbuch fur Palaontologen und Zoologen	Handlirsch	1906	Engelman	publication
1219980	Brues & Melander. 1915. Key to the families of North American insects; an introduction to the classification of insects, The Authors, Boston, Mass., Pullman, Wash. 13	Key to the families of North American insects; an introduction to the classification of insects	Brues & Melander	1915	Key to the families of North American insects; an introduction to the classification of insects, The Authors, Boston, Mass., Pullman, Wash.	publication
1219980	Rasnitsyn. 1976. Grylloblattidae: modern representatives of the order Protoblattodea (lnsecta). Proceedings of the USSR Academy of Sciences (Proc. USSR Academy of Sciences) 228:273-275	Grylloblattidae: modern representatives of the order Protoblattodea (lnsecta)	Rasnitsyn	1976	Proceedings of the USSR Academy of Sciences (Proc. USSR Academy of Sciences)	publication
1219980	Rasnitsyn. 1980. In Rohdendorf & Rasnitsyn [Ed.]. Istoricheskoe Razvitie Klassa Nasekomykh [Historical Development of the Class Insecta]. Order Grylloblattida Walker, 1914. Trudy Paleontologicheskogo Instituta Akademii Nauk, SSSR (Tr. Paleont. Inst. Akad. Nauk, SSSR) 175:150-154	Order Grylloblattida Walker, 1914	Rasnitsyn	1980	Trudy Paleontologicheskogo Instituta Akademii Nauk, SSSR (Tr. Paleont. Inst. Akad. Nauk, SSSR)	publication
1219980	Storozhenko. 1988. A review of the family Grylloplattidae [sic] (Insecta). Articulata 3(5):167	A review of the family Grylloplattidae [sic] (Insecta).	Storozhenko	1988	Articulata	publication
1219980	Storozhenko. 1990. [New fossil grylloblattid insects (Insecta, Grylloblattida: Blattogryllidae, Geinitziidae) from the Permian and Mesozoic of Asia.]. Paleontologicheskii Zhurnal 1990(4):57-65	[New fossil grylloblattid insects (Insecta, Grylloblattida: Blattogryllidae, Geinitziidae) from the Permian and Mesozoic of Asia.]	Storozhenko	1990	Paleontologicheskii Zhurnal	publication
1219980	Carpenter. 1992. In Kaesler [Ed.]. Part R Arthropoda 4. Volume 3: Superclass Hexapoda. Treatise on Invertebrate Paleontology, The Geological Society of America and The University of Kansas, Boulder, Colorado and Lawrence, Kansas 181	Volume 3: Superclass Hexapoda	Carpenter	1992	Treatise on Invertebrate Paleontology, The Geological Society of America and The University of Kansas, Boulder, Colorado and Lawrence, Kansas	publication
1219980	Storozhenko. 1992. New Mesozoic grylloblattid insects from Soviet Central Asia. Paleontologicheskii Zhurnal 1992(1):67-75	New Mesozoic grylloblattid insects from Soviet Central Asia	Storozhenko	1992	Paleontologicheskii Zhurnal	publication
1219980	Labandeira. 1994. A Compendium of Fossil Insect Families. Milwaukee Public Museum Contributions in Biology and Geology 88:23	A Compendium of Fossil Insect Families	Labandeira	1994	Milwaukee Public Museum Contributions in Biology and Geology	publication
1219980	Storozhenko. 1997. Classification of order Grylloblattida (Insecta), with description of new taxa. Far Eastern Entomologist 42:1-20	Classification of order Grylloblattida (Insecta), with description of new taxa.	Storozhenko	1997	Far Eastern Entomologist	publication
1219980	Storozhenko. 1998. Sistematika, filogeniya i evolyutsiya grilloblattidovykh (insecta; Grylloblattida) [Systematics, phylogeny and evolution of the grylloblattids (Insecta: Grylloblattida)], Dal' nauka, Vladivostok 65	Sistematika, filogeniya i evolyutsiya grilloblattidovykh (insecta; Grylloblattida) [Systematics, phylogeny and evolution of the grylloblattids (Insecta: Grylloblattida)]	Storozhenko	1998	Sistematika, filogeniya i evolyutsiya grilloblattidovykh (insecta; Grylloblattida) [Systematics, phylogeny and evolution of the grylloblattids (Insecta: Grylloblattida)], Dal' nauka, Vladivostok	publication
1219980	Vrsansky, Storozhenko, Labandeira & Ihringova. 2001. Galloisiana olgae sp. nov. (Grylloblattodea: Grylloblattidae) and the Paleobiology of a Relict Order of Insects. Annals of the Entomological Society of America (Ann. ent. Soc. Amer.) 94(2):179-184	Galloisiana olgae sp. nov. (Grylloblattodea: Grylloblattidae) and the Paleobiology of a Relict Order of Insects	Vrsansky, Storozhenko, Labandeira & Ihringova	2001	Annals of the Entomological Society of America (Ann. ent. Soc. Amer.)	publication
1219980	Storozhenko. 2002. In Rasnitsyn. Infraclass Gryllones. In Rasnitsyn & Quicke [Ed.]. Order Grylloblattida Walker, 1914. History of Insects, Kluwer Academic Publishers 278-283	Order Grylloblattida Walker, 1914	Storozhenko	2002	History of Insects, Kluwer Academic Publishers	publication
1219980	Rasnitsyn. 2002. In Rasnitsyn & Quicke [Ed.]. Infraclass Gryllones. History of Insects, Kluwer Academic Publishers 276-278	Infraclass Gryllones	Rasnitsyn	2002	History of Insects, Kluwer Academic Publishers	publication
1219980	Aristov. 2004. The Fauna of Grylloblattid Insects (Grylloblattida) of the Lower Permian Locality of Tshekarda. Paleontological Journal 38(Suppl 2):S80-S145	The Fauna of Grylloblattid Insects (Grylloblattida) of the Lower Permian Locality of Tshekarda	Aristov	2004	Paleontological Journal	publication
1219980	Grimaldi & Engel. 2005. Evolution of the Insects, Cambridge University Press, New York 1467, 147, 222-225	Evolution of the Insects	Grimaldi & Engel	2005	Evolution of the Insects, Cambridge University Press, New York	publication
1219980	Terry & Whiting. 2005. Mantophasmatodea and phylogeny of the lower neopterous insects. Cladistics 21:240-257	Mantophasmatodea and phylogeny of the lower neopterous insects	Terry & Whiting	2005	Cladistics	publication
1219980	Béthoux, Nel, Lapeyrie & Gand. 2005. New data on paleozoic Grylloblattid insects (Neoptera). Journal of Paleontology 79(1):126	New data on paleozoic Grylloblattid insects (Neoptera)	Béthoux, Nel, Lapeyrie & Gand	2005	Journal of Paleontology	publication
1219980	Jarvis & Whiting. 2006. Phylogeny and biogeography of ice crawlers (Insecta: Grylloblattodea) based on six molecular loci: Designating conservation status for Grylloblattodea species. Molecular Phylogenetics and Evolution 41:222-237	Phylogeny and biogeography of ice crawlers (Insecta: Grylloblattodea) based on six molecular loci: Designating conservation status for Grylloblattodea species	Jarvis & Whiting	2006	Molecular Phylogenetics and Evolution	publication
1219980	Beutel & Gorb. 2006. A revised interpretation of the evolution of attachment structures in Hexapoda with special emphasis on Mantophasmatodea. Arthropod Systematics & Phylogeny 64(1):3-25	A revised interpretation of the evolution of attachment structures in Hexapoda with special emphasis on Mantophasmatodea	Beutel & Gorb	2006	Arthropod Systematics & Phylogeny	publication
1219980	Arillo & Engel. 2006. Rock Crawlers in Baltic Amber (Notoptera: Mantophasmatodea). American Museum Novitates 3539:3	Rock Crawlers in Baltic Amber (Notoptera: Mantophasmatodea)	Arillo & Engel	2006	American Museum Novitates	publication
1219980	Aristov. 2006. Taxonomy of the Fossil Grylloblattid Nymphs  (Insecta: Grylloblattida). Paleontological Journal 40(1):79-89	Taxonomy of the Fossil Grylloblattid Nymphs  (Insecta: Grylloblattida)	Aristov	2006	Paleontological Journal	publication
1219980	Klass. 2007. Die Stammesgeschichte der Hexapoden: eine kritische Diskussion neuerer Daten und Hypothesen [The phylogenetic history of hexapods: a critical discussion of recent data and hypotheses]. Denisia 20:413-450	Die Stammesgeschichte der Hexapoden: eine kritische Diskussion neuerer Daten und Hypothesen [The phylogenetic history of hexapods: a critical discussion of recent data and hypotheses]	Klass	2007	Denisia	publication
1219980	Béthoux. 2007. Emptying the Paleozoic wastebasket for insects: members of a Carboniferous 'protorthopterous family' assigned to natural groups. Alavesia 1:41-48	Emptying the Paleozoic wastebasket for insects: members of a Carboniferous 'protorthopterous family' assigned to natural groups	Béthoux	2007	Alavesia	publication
1219980	Beutel & Gorb. 2008. Evolutionary scenarios for unusual attachment devices of Phasmatodea and Mantophasmatodea (Insecta). Systematic Entomology 33(3):501-510	Evolutionary scenarios for unusual attachment devices of Phasmatodea and Mantophasmatodea (Insecta)	Beutel & Gorb	2008	Systematic Entomology	publication
1219980	Huang, D.Y., Nel & Petrulevicius. 2008. Zoological Journal of the Linnean Society (Zool. Jour. Linn. Soc.) 152(1):17-24		Huang, D.Y., Nel & Petrulevicius	2008	Zoological Journal of the Linnean Society (Zool. Jour. Linn. Soc.)	publication
1219980	Aristov & Zessin. 2009. [Mallorcagryllus hispanicus n. gen. et sp. - a new grylloblattid (Insecta: Grylloblattida: Blattogryllidae) from the Buntsandstein of the island of Mallorca, Spain.]. Virgo 12(1):30-34	[Mallorcagryllus hispanicus n. gen. et sp. - a new grylloblattid (Insecta: Grylloblattida: Blattogryllidae) from the Buntsandstein of the island of Mallorca, Spain.]	Aristov & Zessin	2009	Virgo	publication
1219980	Ren & Aristov. 2011. New fossil grylloblatid (Insecta: Grylloblattida) from the Middle Jurassic of Inner Mongolia (China). Paleontologicheskii Zhurnal 3:36-37	New fossil grylloblatid (Insecta: Grylloblattida) from the Middle Jurassic of Inner Mongolia (China)	Ren & Aristov	2011	Paleontologicheskii Zhurnal	publication
1219980	Aristov. 2011. New and Little Known Blattogryllidae (Insecta: Grylloblattida) from the Permian and Triassic of Russia, Kazakhstan, and Kyrgyzstan. Paleontological Journal 45(1):65-72	New and Little Known Blattogryllidae (Insecta: Grylloblattida) from the Permian and Triassic of Russia, Kazakhstan, and Kyrgyzstan	Aristov	2011	Paleontological Journal	publication
1219980	Aristov & Storozhenko. 2011. The taxonomic position of the genus Parablattogryllus Storozhenko, 1988 (Insecta) from the Cretaceous of Russia. Far Eastern Entomologist 236:14-16	The taxonomic position of the genus Parablattogryllus Storozhenko, 1988 (Insecta) from the Cretaceous of Russia	Aristov & Storozhenko	2011	Far Eastern Entomologist	publication
1219980	Aristov, Grauvogel-Stamm & Marchal-Papier. 2011. New Grylloblattid Insects (Insecta: Grylloblattida) from the Gres a Voltzia of the Vosges (Middle Triassic of France). Paleontological Journal 45(2):159-166	New Grylloblattid Insects (Insecta: Grylloblattida) from the Gres a Voltzia of the Vosges (Middle Triassic of France).	Aristov, Grauvogel-Stamm & Marchal-Papier	2011	Paleontological Journal	publication
1219980	Cui. 2012. New data on the Blattogryllidae-Plesioblattogryllidae-Grylloblattidae complex (Insecta: Grylloblattida: Blattogryllopterida tax.n.). Arthropod Systematics and Phylogeny (ASP) 70(3):167-180	New data on the Blattogryllidae-Plesioblattogryllidae-Grylloblattidae complex (Insecta: Grylloblattida: Blattogryllopterida tax.n.).	Cui	2012	Arthropod Systematics and Phylogeny (ASP)	publication
1219980	Aristov. 2013. New Grylloblattida (Insecta) from the Upper Permian and Lower Triassic of European Russia and Kazakhstan. Paleontological Journal 47(1):66-76	New Grylloblattida (Insecta) from the Upper Permian and Lower Triassic of European Russia and Kazakhstan.	Aristov	2013	Paleontological Journal	publication
1219980	Schoville & Graening. 2013. Updated checklist of the ice-crawlers (Insecta: Grylloblattodea: Grylloblattidae) of North America, with notes on their natural history,  biogeography and conservation. Zootaxa 3737(4):351-378	Updated checklist of the ice-crawlers (Insecta: Grylloblattodea: Grylloblattidae) of North America, with notes on their natural history,  biogeography and conservation	Schoville & Graening	2013	Zootaxa	publication
1219980	Negoro, Sawada & Goto. 2013. Some specimen [sic] of Grylloblattodea deposited in Toyama Science Museum. Bulletin of the Toyama Science Museum 37:107-108	Some specimen [sic] of Grylloblattodea deposited in Toyama Science Museum	Negoro, Sawada & Goto	2013	Bulletin of the Toyama Science Museum	publication
1219980	Schoville, Uchifune & Machida. 2013. Colliding fragment islands transport independent lineages of endemic rock-crawlers (Grylloblattodea: Grylloblattidae) in the Japanese archipelago. Molecular Phylogenetics and Evolution 66(3):915-927	Colliding fragment islands transport independent lineages of endemic rock-crawlers (Grylloblattodea: Grylloblattidae) in the Japanese archipelago	Schoville, Uchifune & Machida	2013	Molecular Phylogenetics and Evolution	publication
1219980	Storozhenko & Aristov. 2014. Review of the Paleozoic and Mesozoic Families Megakhosaridae and Blattogryllidae (Insecta: Grylloblattida). Far Eastern Entomologist 271:1-28	Review of the Paleozoic and Mesozoic Families Megakhosaridae and Blattogryllidae (Insecta: Grylloblattida).	Storozhenko & Aristov	2014	Far Eastern Entomologist	publication
1219980	Schoville. 2014. Current status of the systematics and evolutionary biology of Grylloblattidae (Grylloblattodea). Systematic Entomology 39(2):197-204	Current status of the systematics and evolutionary biology of Grylloblattidae (Grylloblattodea)	Schoville	2014	Systematic Entomology	publication
1219980	Wipfler, Bai, Schoville, Dallai, Uchifune, Machida, Cui & Beutel. 2014. Ice Crawlers (Grylloblattodea) – the history of the investigation of a highly unusual group of insects. Journal of Insect Biodiversity 2(2):1-25	Ice Crawlers (Grylloblattodea) – the history of the investigation of a highly unusual group of insects.	Wipfler, Bai, Schoville, Dallai, Uchifune, Machida, Cui & Beutel	2014	Journal of Insect Biodiversity	publication
1219980	Ichikawa, Sawada, Goto & Negoro. 2014. Two additions and a correction to the Grylloblattodea fauna of Toyama Prefecture. Bulletin of the Toyama Science Museum 38:129-130	Two additions and a correction to the Grylloblattodea fauna of Toyama Prefecture	Ichikawa, Sawada, Goto & Negoro	2014	Bulletin of the Toyama Science Museum	publication
1219980	Cui, Béthoux, Klass & Ren. 2015. The Jurassic Bajanzhargalanidae (Insecta: Grylloblattida?): New genera and species, and data on postabdominal morphology. Arthropod Structure & Development 44:688-716	The Jurassic Bajanzhargalanidae (Insecta: Grylloblattida?): New genera and species, and data on postabdominal morphology	Cui, Béthoux, Klass & Ren	2015	Arthropod Structure & Development	publication
1219980	Wipfler, Klug, Ge, Bai, Goebbels, Yang & Hoernschemeyer. 2015. The thorax of Mantophasmatodea, the morphology of flightlessness, and the evolution of the neopteran insects. Cladistics 31(1):50-70	The thorax of Mantophasmatodea, the morphology of flightlessness, and the evolution of the neopteran insects	Wipfler, Klug, Ge, Bai, Goebbels, Yang & Hoernschemeyer	2015	Cladistics	publication
1219980	Schoville, Slatyer, Bergdahl & Valdez. 2015. Conserved and narrow temperature limits in alpine insects: Thermal tolerance and supercooling points of the ice-crawlers, Grylloblatta (Insecta: Grylloblattodea: Grylloblattidae). Journal of Insect Physiology 78:55-61	Conserved and narrow temperature limits in alpine insects: Thermal tolerance and supercooling points of the ice-crawlers, Grylloblatta (Insecta: Grylloblattodea: Grylloblattidae)	Schoville, Slatyer, Bergdahl & Valdez	2015	Journal of Insect Physiology	publication
1219980	Schoville. 2016. Phylogenetic roots of the Grylloblattodea and implications for  past environmental change. Metaleptea 36(1):10	Phylogenetic roots of the Grylloblattodea and implications for  past environmental change.	Schoville	2016	Metaleptea	publication
1219981	Béthoux, Nel, Lapeyrie & Gand. 2005. New data on paleozoic Grylloblattid insects (Neoptera). Journal of Paleontology 79(1):126	New data on paleozoic Grylloblattid insects (Neoptera)	Béthoux, Nel, Lapeyrie & Gand	2005	Journal of Paleontology	original
1219981	Aristov. 2009. Review of the stratigraphic distribution of Permian Grylloblattida (Insecta), with descriptions of new taxa. Paleontological Journal 43(6):646	Review of the stratigraphic distribution of Permian Grylloblattida (Insecta), with descriptions of new taxa.	Aristov	2009	Paleontological Journal	publication
