id	locationID	locality
1171736	TDWG:POR	Portugal
1171736	TDWG:SPA	Spain
1171736	TDWG:ITA	Italy
1171736	TDWG:ALG	Algeria
1171736	TDWG:EGY	Egypt
1171736	TDWG:MOR	Morocco
1171736	TDWG:TUN	Tunisia
1171736	TDWG:CPP	Cape Province
1171736	TDWG:NAM	Namibia
1171736	TDWG:AFG	Afghanistan
1171736	TDWG:YEM	Yemen
1171736	TDWG:LAO	Laos
1171736	TDWG:MYA	Myanmar
1171736	TDWG:THA	Thailand
1171736	TDWG:BOR	Borneo
1171736	TDWG:MLY	Malaya
1171736	TDWG:NWG	New Guinea
1171736	TDWG:SUM	Sumatera
1171736	TDWG:MRN	Marianas
1171736	TDWG:MRQ	Marquesas
1171736	TDWG:ARI	Arizona
1171736	TDWG:CAL	California
1171736	TDWG:TEX	Texas
1171736	TDWG:FLA	Florida
1171736	TDWG:GUA	Guatemala
1171736	TDWG:PAN	Panamá
1171736	TDWG:GUY	Guyana
1171736	TDWG:SUR	Surinam
1171736	TDWG:VEN	Venezuela
1171736	TDWG:BOL	Bolivia
1171736	TDWG:CLM	Colombia
1171736	TDWG:ECU	Ecuador
1171736	TDWG:GAL	Galápagos
1171736	TDWG:PER	Peru
1171736	TDWG:81	Caribbean
1171736	TDWG:84	Brazil
1171736	TDWG:85	Southern South America
1171736	TDWG:32	Middle Asia
1171736	TDWG:36	China
1171736	TDWG:50	Australia
1171736	TDWG:22	West Tropical Africa
1171736	TDWG:23	West-Central Tropical Africa
1171736	TDWG:24	Northeast Tropical Africa
1171736	TDWG:25	East Tropical Africa
1171736	TDWG:26	South Tropical Africa
1171736	TDWG:79	Mexico
1171736	TDWG:40	Indian Subcontinent
1171737	TDWG:AFG	Afghanistan
1171737	TDWG:TKM	Turkmenistan
1171738	TDWG:AFG	Afghanistan
1171739	TDWG:AFG	Afghanistan
1171740	TDWG:TKM	Turkmenistan
1171741	TDWG:TKM	Turkmenistan
1171744	TDWG:PAN	Panamá
1171744	TDWG:TEX	Texas
1171744	TDWG:ARI	Arizona
1171744	TDWG:79	Mexico
1171744	TDWG:84	Brazil
1171744	TDWG:PER	Peru
1171744	TDWG:GAL	Galápagos
1171744	TDWG:CLM	Colombia
1171744	TDWG:VEN	Venezuela
1171744	TDWG:CUB	Cuba
1171744	TDWG:HAI	Haiti
1171744	TDWG:TRT	Trinidad-Tobago
1171745	TDWG:HAI	Haiti
1171745	TDWG:CUB	Cuba
1171745	TDWG:CLM	Colombia
1171745	TDWG:PER	Peru
1171745	TDWG:84	Brazil
1171745	TDWG:TEX	Texas
1171745	TDWG:PAN	Panamá
1171745	TDWG:MXG	Mexico Gulf
1171745	TDWG:MXN	Mexico Northwest
1171745	TDWG:MXT	Mexico Southeast
1171750	TDWG:MXT	Mexico Southeast
1171750	TDWG:MXG	Mexico Gulf
1171750	TDWG:84	Brazil
1171750	TDWG:PER	Peru
1171750	TDWG:HAI	Haiti
1171750	TDWG:CUB	Cuba
1171750	TDWG:CLM	Colombia
1171753	TDWG:PER	Peru
1171754	TDWG:PER	Peru
1171755	TDWG:CUB	Cuba
1171755	TDWG:HAI	Haiti
1171755	TDWG:MXT	Mexico Southeast
1171755	TDWG:MXG	Mexico Gulf
1171756	TDWG:CUB	Cuba
1171757	TDWG:CUB	Cuba
1171759	TDWG:MXG	Mexico Gulf
1171760	TDWG:HAI	Haiti
1171761	TDWG:MXT	Mexico Southeast
1171764	TDWG:CLM	Colombia
1171764	TDWG:PER	Peru
1171764	TDWG:84	Brazil
1171765	TDWG:PER	Peru
1171766	TDWG:84	Brazil
1171767	TDWG:CLM	Colombia
1171768	TDWG:MXN	Mexico Northwest
1171768	TDWG:TEX	Texas
1171769	TDWG:TEX	Texas
1171770	TDWG:TEX	Texas
1171771	TDWG:MXN	Mexico Northwest
1171772	TDWG:MXN	Mexico Northwest
1171773	TDWG:MXN	Mexico Northwest
1171787	TDWG:84	Brazil
1171788	TDWG:84	Brazil
1171793	TDWG:PAN	Panamá
1171797	TDWG:PAN	Panamá
1171824	TDWG:PAN	Panamá
1171824	TDWG:ARI	Arizona
1171824	TDWG:TRT	Trinidad-Tobago
1171824	TDWG:VEN	Venezuela
1171824	TDWG:GAL	Galápagos
1171824	TDWG:CLM	Colombia
1171824	TDWG:79	Mexico
1171827	TDWG:MXS	Mexico Southwest
1171828	TDWG:MXS	Mexico Southwest
1171829	TDWG:VEN	Venezuela
1171829	TDWG:TRT	Trinidad-Tobago
1171832	TDWG:VEN	Venezuela
1171835	TDWG:TRT	Trinidad-Tobago
1171836	TDWG:CLM	Colombia
1171836	TDWG:GAL	Galápagos
1171836	TDWG:79	Mexico
1171836	TDWG:PAN	Panamá
1171838	TDWG:MXT	Mexico Southeast
1171839	TDWG:MXS	Mexico Southwest
1171841	TDWG:MXG	Mexico Gulf
