id	locationID	locality
1199226	TDWG:AND	Andaman Is.
1199226	TDWG:CBD	Cambodia
1199226	TDWG:LAO	Laos
1199226	TDWG:MYA	Myanmar
1199226	TDWG:NCB	Nicobar Is.
1199226	TDWG:THA	Thailand
1199226	TDWG:VIE	Vietnam
1199226	TDWG:BIS	Bismarck Archipelago
1199226	TDWG:NWG	New Guinea
1199226	TDWG:SOL	Solomon Is.
1199226	TDWG:FRG	French Guiana
1199226	TDWG:GUY	Guyana
1199226	TDWG:SUR	Surinam
1199226	TDWG:VEN	Venezuela
1199226	TDWG:AGE	Argentina Northeast
1199226	TDWG:AGW	Argentina Northwest
1199226	TDWG:CLC	Chile Central
1199226	TDWG:CLN	Chile North
1199226	TDWG:PAR	Paraguay
1199226	TDWG:URU	Uruguay
1199226	TDWG:40	Indian Subcontinent
1199226	TDWG:42	Malesia
1199226	TDWG:1	Europe
1199226	TDWG:2	Africa
1199226	TDWG:3	Asia-Temperate
1199226	TDWG:7	Northern America
1199226	TDWG:NSW	New South Wales
1199226	TDWG:NFK	Norfolk Is.
1199226	TDWG:NTA	Northern Territory
1199226	TDWG:QLD	Queensland
1199226	TDWG:SOA	South Australia
1199226	TDWG:TAS	Tasmania
1199226	TDWG:VIC	Victoria
1199226	TDWG:WAU	Western Australia
1199226	TDWG:60	Southwestern Pacific
1199226	TDWG:61	South-Central Pacific
1199226	TDWG:62	Northwestern Pacific
1199226	TDWG:51	New Zealand
1199226	TDWG:80	Central America
1199226	TDWG:81	Caribbean
1199226	TDWG:84	Brazil
1199226	TDWG:BOL	Bolivia
1199226	TDWG:CLM	Colombia
1199226	TDWG:ECU	Ecuador
1199226	TDWG:PER	Peru
1199227	TDWG:51	New Zealand
1199227	TDWG:80	Central America
1199227	TDWG:81	Caribbean
1199227	TDWG:84	Brazil
1199227	TDWG:BOL	Bolivia
1199227	TDWG:CLM	Colombia
1199227	TDWG:ECU	Ecuador
1199227	TDWG:PER	Peru
1199227	TDWG:1	Europe
1199227	TDWG:2	Africa
1199227	TDWG:3	Asia-Temperate
1199227	TDWG:7	Northern America
1199227	TDWG:NSW	New South Wales
1199227	TDWG:NFK	Norfolk Is.
1199227	TDWG:NTA	Northern Territory
1199227	TDWG:QLD	Queensland
1199227	TDWG:SOA	South Australia
1199227	TDWG:TAS	Tasmania
1199227	TDWG:VIC	Victoria
1199227	TDWG:WAU	Western Australia
1199227	TDWG:60	Southwestern Pacific
1199227	TDWG:61	South-Central Pacific
1199227	TDWG:62	Northwestern Pacific
1199227	TDWG:40	Indian Subcontinent
1199227	TDWG:42	Malesia
1199227	TDWG:URU	Uruguay
1199227	TDWG:PAR	Paraguay
1199227	TDWG:CLN	Chile North
1199227	TDWG:CLC	Chile Central
1199227	TDWG:AGW	Argentina Northwest
1199227	TDWG:AGE	Argentina Northeast
1199227	TDWG:VEN	Venezuela
1199227	TDWG:SUR	Surinam
1199227	TDWG:GUY	Guyana
1199227	TDWG:FRG	French Guiana
1199227	TDWG:SOL	Solomon Is.
1199227	TDWG:NWG	New Guinea
1199227	TDWG:BIS	Bismarck Archipelago
1199227	TDWG:VIE	Vietnam
1199227	TDWG:THA	Thailand
1199227	TDWG:NCB	Nicobar Is.
1199227	TDWG:MYA	Myanmar
1199227	TDWG:LAO	Laos
1199227	TDWG:CBD	Cambodia
1199227	TDWG:AND	Andaman Is.
1199228	TDWG:AND	Andaman Is.
1199228	TDWG:CBD	Cambodia
1199228	TDWG:MYA	Myanmar
1199228	TDWG:THA	Thailand
1199228	TDWG:JAP	Japan
1199228	TDWG:VIE	Vietnam
1199228	TDWG:BIS	Bismarck Archipelago
1199228	TDWG:NWG	New Guinea
1199228	TDWG:SOL	Solomon Is.
1199228	TDWG:FRG	French Guiana
1199228	TDWG:GUY	Guyana
1199228	TDWG:SUR	Surinam
1199228	TDWG:VEN	Venezuela
1199228	TDWG:AGE	Argentina Northeast
1199228	TDWG:CLC	Chile Central
1199228	TDWG:CLN	Chile North
1199228	TDWG:PAR	Paraguay
1199228	TDWG:40	Indian Subcontinent
1199228	TDWG:42	Malesia
1199228	TDWG:URU	Uruguay
1199228	TDWG:1	Europe
1199228	TDWG:2	Africa
1199228	TDWG:7	Northern America
1199228	TDWG:CYP	Cyprus
1199228	TDWG:36	China
1199228	TDWG:50	Australia
1199228	TDWG:FIJ	Fiji
1199228	TDWG:NWC	New Caledonia
1199228	TDWG:EAS	Easter Is.
1199228	TDWG:80	Central America
1199228	TDWG:81	Caribbean
1199228	TDWG:84	Brazil
1199228	TDWG:BOL	Bolivia
1199228	TDWG:CLM	Colombia
1199228	TDWG:ECU	Ecuador
1199228	TDWG:PER	Peru
1199229	TDWG:79	Mexico
1199229	TDWG:COS	Costa Rica
1199229	TDWG:PAN	Panamá
1199229	TDWG:WIN	Windward Is.
1199229	TDWG:40	Indian Subcontinent
1199229	TDWG:42	Malesia
1199229	TDWG:CLC	Chile Central
1199229	TDWG:VEN	Venezuela
1199229	TDWG:FRG	French Guiana
1199229	TDWG:THA	Thailand
1199229	TDWG:VIE	Vietnam
1199229	TDWG:CHT	Tibet
1199229	TDWG:MYA	Myanmar
1199229	TDWG:AND	Andaman Is.
1199229	TDWG:CPP	Cape Province
1199229	TDWG:MDG	Madagascar
1199229	TDWG:84	Brazil
1199229	TDWG:BOL	Bolivia
1199229	TDWG:CLM	Colombia
1199229	TDWG:ECU	Ecuador
1199229	TDWG:PER	Peru
1199230	TDWG:AND	Andaman Is.
1199230	TDWG:MYA	Myanmar
1199230	TDWG:SRL	Sri Lanka
1199230	TDWG:CHT	Tibet
1199230	TDWG:IND	India
1199230	TDWG:VIE	Vietnam
1199230	TDWG:42	Malesia
1199231	TDWG:42	Malesia
1199231	TDWG:VIE	Vietnam
1199231	TDWG:IND	India
1199231	TDWG:CHT	Tibet
1199231	TDWG:SRL	Sri Lanka
1199231	TDWG:AND	Andaman Is.
1199231	TDWG:MYA	Myanmar
1199232	TDWG:AND	Andaman Is.
1199232	TDWG:SRL	Sri Lanka
1199232	TDWG:CHT	Tibet
1199232	TDWG:IND	India
1199232	TDWG:42	Malesia
1199233	TDWG:42	Malesia
1199233	TDWG:IND	India
1199233	TDWG:SRL	Sri Lanka
1199233	TDWG:AND	Andaman Is.
1199236	TDWG:IND	India
1199236	TDWG:JAW	Jawa
1199236	TDWG:PHI	Philippines
1199237	TDWG:SUM	Sumatera
1199237	TDWG:IND	India
1199238	TDWG:SRL	Sri Lanka
1199239	TDWG:42	Malesia
1199241	TDWG:IND	India
1199241	TDWG:SUM	Sumatera
1199242	TDWG:42	Malesia
1199243	TDWG:IND	India
1199244	TDWG:MLY	Malaya
1199245	TDWG:SUM	Sumatera
1199245	TDWG:IND	India
1199246	TDWG:SRL	Sri Lanka
1199247	TDWG:IND	India
1199247	TDWG:PHI	Philippines
1199247	TDWG:SUM	Sumatera
1199248	TDWG:SUM	Sumatera
1199249	TDWG:IND	India
1199250	TDWG:SRL	Sri Lanka
1199250	TDWG:AND	Andaman Is.
1199250	TDWG:SUM	Sumatera
1199251	TDWG:MLY	Malaya
1199252	TDWG:CHH	Hainan
1199253	TDWG:CHS	China Southeast
1199254	TDWG:BOR	Borneo
1199255	TDWG:BOR	Borneo
1199256	TDWG:JAW	Jawa
1199256	TDWG:SUM	Sumatera
1199259	TDWG:JAW	Jawa
1199261	TDWG:SUM	Sumatera
1199263	TDWG:SUM	Sumatera
1199264	TDWG:SUM	Sumatera
1199267	TDWG:BOR	Borneo
1199267	TDWG:MLY	Malaya
1199267	TDWG:SUM	Sumatera
1199268	TDWG:MLY	Malaya
1199269	TDWG:BOR	Borneo
1199270	TDWG:BOR	Borneo
1199271	TDWG:SUM	Sumatera
1199272	TDWG:BOR	Borneo
1199273	TDWG:BOR	Borneo
1199274	TDWG:BOR	Borneo
1199274	TDWG:PHI	Philippines
1199274	TDWG:IND	India
1199277	TDWG:BOR	Borneo
1199278	TDWG:BOR	Borneo
1199279	TDWG:IND	India
1199280	TDWG:BOR	Borneo
1199281	TDWG:BOR	Borneo
1199282	TDWG:BOR	Borneo
1199283	TDWG:BOR	Borneo
1199284	TDWG:BOR	Borneo
1199285	TDWG:PHI	Philippines
1199286	TDWG:BOR	Borneo
1199287	TDWG:BOR	Borneo
1199288	TDWG:BOR	Borneo
1199289	TDWG:BOR	Borneo
1199290	TDWG:BOR	Borneo
1199291	TDWG:BOR	Borneo
1199292	TDWG:BOR	Borneo
1199293	TDWG:BOR	Borneo
1199294	TDWG:BOR	Borneo
1199295	TDWG:BOR	Borneo
1199296	TDWG:CHT	Tibet
1199297	TDWG:CHT	Tibet
1199298	TDWG:MLY	Malaya
1199298	TDWG:SUM	Sumatera
1199300	TDWG:SUM	Sumatera
1199301	TDWG:MLY	Malaya
1199302	TDWG:SUM	Sumatera
1199303	TDWG:SUM	Sumatera
1199305	TDWG:BOR	Borneo
1199305	TDWG:JAW	Jawa
1199305	TDWG:MLY	Malaya
1199305	TDWG:SUM	Sumatera
1199305	TDWG:IND	India
1199305	TDWG:SRL	Sri Lanka
1199306	TDWG:BOR	Borneo
1199307	TDWG:BOR	Borneo
1199308	TDWG:SRL	Sri Lanka
1199309	TDWG:JAW	Jawa
1199310	TDWG:BOR	Borneo
1199311	TDWG:JAW	Jawa
1199312	TDWG:BOR	Borneo
1199313	TDWG:BOR	Borneo
1199313	TDWG:JAW	Jawa
1199313	TDWG:MLY	Malaya
1199313	TDWG:SUM	Sumatera
1199313	TDWG:IND	India
1199315	TDWG:BOR	Borneo
1199316	TDWG:JAW	Jawa
1199318	TDWG:BOR	Borneo
1199319	TDWG:BOR	Borneo
1199320	TDWG:BOR	Borneo
1199320	TDWG:JAW	Jawa
1199320	TDWG:MLY	Malaya
1199320	TDWG:SUM	Sumatera
1199320	TDWG:IND	India
1199321	TDWG:IND	India
1199321	TDWG:BOR	Borneo
1199321	TDWG:JAW	Jawa
1199321	TDWG:MLY	Malaya
1199321	TDWG:SUM	Sumatera
1199322	TDWG:JAW	Jawa
1199324	TDWG:SUM	Sumatera
1199325	TDWG:JAW	Jawa
1199326	TDWG:BOR	Borneo
1199327	TDWG:IND	India
1199329	TDWG:MLY	Malaya
1199330	TDWG:BOR	Borneo
1199331	TDWG:BOR	Borneo
1199332	TDWG:BOR	Borneo
1199333	TDWG:BOR	Borneo
1199334	TDWG:BOR	Borneo
1199335	TDWG:BOR	Borneo
1199336	TDWG:BOR	Borneo
1199337	TDWG:BOR	Borneo
1199338	TDWG:BOR	Borneo
1199339	TDWG:BOR	Borneo
1199339	TDWG:JAW	Jawa
1199339	TDWG:MLY	Malaya
1199339	TDWG:PHI	Philippines
1199339	TDWG:IND	India
1199340	TDWG:PHI	Philippines
1199341	TDWG:BOR	Borneo
1199341	TDWG:JAW	Jawa
1199342	TDWG:MLY	Malaya
1199342	TDWG:IND	India
1199344	TDWG:BOR	Borneo
1199344	TDWG:MOL	Maluka
1199344	TDWG:PHI	Philippines
1199344	TDWG:SUL	Sulawesi
1199344	TDWG:SUM	Sumatera
1199347	TDWG:SUL	Sulawesi
1199348	TDWG:MOL	Maluka
1199348	TDWG:PHI	Philippines
1199348	TDWG:SUM	Sumatera
1199349	TDWG:BOR	Borneo
1199350	TDWG:BOR	Borneo
1199351	TDWG:BOR	Borneo
1199352	TDWG:BOR	Borneo
1199353	TDWG:BOR	Borneo
1199354	TDWG:BOR	Borneo
1199355	TDWG:BOR	Borneo
1199356	TDWG:BOR	Borneo
1199357	TDWG:PHI	Philippines
1199358	TDWG:PHI	Philippines
1199359	TDWG:BOR	Borneo
1199359	TDWG:MYA	Myanmar
1199359	TDWG:VIE	Vietnam
1199360	TDWG:VIE	Vietnam
1199360	TDWG:MYA	Myanmar
1199360	TDWG:BOR	Borneo
1199362	TDWG:BOR	Borneo
1199363	TDWG:BOR	Borneo
1199364	TDWG:BOR	Borneo
1199365	TDWG:VIE	Vietnam
1199366	TDWG:MYA	Myanmar
1199367	TDWG:BOR	Borneo
1199368	TDWG:BOR	Borneo
1199371	TDWG:MDG	Madagascar
1199372	TDWG:MDG	Madagascar
1199373	TDWG:MDG	Madagascar
1199374	TDWG:MDG	Madagascar
1199375	TDWG:MDG	Madagascar
1199376	TDWG:MDG	Madagascar
1199378	TDWG:MDG	Madagascar
1199379	TDWG:MDG	Madagascar
1199380	TDWG:MDG	Madagascar
1199381	TDWG:MDG	Madagascar
1199383	TDWG:MDG	Madagascar
1199384	TDWG:CPP	Cape Province
1199384	TDWG:THA	Thailand
1199384	TDWG:FRG	French Guiana
1199384	TDWG:CLC	Chile Central
1199384	TDWG:VEN	Venezuela
1199384	TDWG:40	Indian Subcontinent
1199384	TDWG:42	Malesia
1199384	TDWG:79	Mexico
1199384	TDWG:COS	Costa Rica
1199384	TDWG:PAN	Panamá
1199384	TDWG:WIN	Windward Is.
1199384	TDWG:84	Brazil
1199384	TDWG:BOL	Bolivia
1199384	TDWG:CLM	Colombia
1199384	TDWG:ECU	Ecuador
1199384	TDWG:PER	Peru
1199385	TDWG:BOR	Borneo
1199385	TDWG:MLY	Malaya
1199385	TDWG:PHI	Philippines
1199385	TDWG:SUM	Sumatera
1199385	TDWG:THA	Thailand
1199385	TDWG:IND	India
1199386	TDWG:IND	India
1199386	TDWG:THA	Thailand
1199386	TDWG:BOR	Borneo
1199386	TDWG:MLY	Malaya
1199386	TDWG:PHI	Philippines
1199386	TDWG:SUM	Sumatera
1199387	TDWG:BOR	Borneo
1199387	TDWG:MLY	Malaya
1199387	TDWG:SUM	Sumatera
1199388	TDWG:BOR	Borneo
1199388	TDWG:MLY	Malaya
1199388	TDWG:SUM	Sumatera
1199390	TDWG:BOR	Borneo
1199391	TDWG:BOR	Borneo
1199391	TDWG:PHI	Philippines
1199391	TDWG:THA	Thailand
1199391	TDWG:IND	India
1199392	TDWG:THA	Thailand
1199393	TDWG:PHI	Philippines
1199394	TDWG:IND	India
1199395	TDWG:BOR	Borneo
1199396	TDWG:PHI	Philippines
1199397	TDWG:79	Mexico
1199397	TDWG:COS	Costa Rica
1199397	TDWG:PAN	Panamá
1199397	TDWG:WIN	Windward Is.
1199397	TDWG:CPP	Cape Province
1199397	TDWG:VEN	Venezuela
1199397	TDWG:CLC	Chile Central
1199397	TDWG:40	Indian Subcontinent
1199397	TDWG:42	Malesia
1199397	TDWG:FRG	French Guiana
1199397	TDWG:84	Brazil
1199397	TDWG:BOL	Bolivia
1199397	TDWG:CLM	Colombia
1199397	TDWG:ECU	Ecuador
1199397	TDWG:PER	Peru
1199398	TDWG:FRG	French Guiana
1199398	TDWG:40	Indian Subcontinent
1199398	TDWG:42	Malesia
1199398	TDWG:CLC	Chile Central
1199398	TDWG:CPP	Cape Province
1199398	TDWG:79	Mexico
1199398	TDWG:COS	Costa Rica
1199398	TDWG:PAN	Panamá
1199398	TDWG:84	Brazil
1199398	TDWG:BOL	Bolivia
1199398	TDWG:CLM	Colombia
1199398	TDWG:ECU	Ecuador
1199398	TDWG:PER	Peru
1199399	TDWG:PAN	Panamá
1199399	TDWG:84	Brazil
1199399	TDWG:BOL	Bolivia
1199399	TDWG:CLM	Colombia
1199399	TDWG:PER	Peru
1199400	TDWG:84	Brazil
1199401	TDWG:84	Brazil
1199402	TDWG:PAN	Panamá
1199403	TDWG:PER	Peru
1199404	TDWG:84	Brazil
1199404	TDWG:BOL	Bolivia
1199405	TDWG:84	Brazil
1199406	TDWG:84	Brazil
1199407	TDWG:84	Brazil
1199408	TDWG:CLM	Colombia
1199409	TDWG:84	Brazil
1199410	TDWG:PAN	Panamá
1199411	TDWG:CLM	Colombia
1199413	TDWG:CLM	Colombia
1199414	TDWG:84	Brazil
1199415	TDWG:84	Brazil
1199417	TDWG:84	Brazil
1199418	TDWG:84	Brazil
1199419	TDWG:84	Brazil
1199420	TDWG:79	Mexico
1199420	TDWG:COS	Costa Rica
1199420	TDWG:PAN	Panamá
1199420	TDWG:CPP	Cape Province
1199420	TDWG:CLC	Chile Central
1199420	TDWG:40	Indian Subcontinent
1199420	TDWG:42	Malesia
1199420	TDWG:FRG	French Guiana
1199420	TDWG:84	Brazil
1199420	TDWG:BOL	Bolivia
1199420	TDWG:CLM	Colombia
1199420	TDWG:ECU	Ecuador
1199421	TDWG:84	Brazil
1199423	TDWG:COS	Costa Rica
1199424	TDWG:79	Mexico
1199424	TDWG:PAN	Panamá
1199426	TDWG:COS	Costa Rica
1199427	TDWG:BOL	Bolivia
1199429	TDWG:JAW	Jawa
1199431	TDWG:CLM	Colombia
1199432	TDWG:CPP	Cape Province
1199432	TDWG:84	Brazil
1199435	TDWG:FRG	French Guiana
1199436	TDWG:ECU	Ecuador
1199437	TDWG:40	Indian Subcontinent
1199438	TDWG:84	Brazil
1199439	TDWG:FRG	French Guiana
1199440	TDWG:42	Malesia
1199443	TDWG:84	Brazil
1199444	TDWG:84	Brazil
1199445	TDWG:CLC	Chile Central
1199446	TDWG:CLM	Colombia
1199447	TDWG:CLM	Colombia
1199448	TDWG:VEN	Venezuela
1199448	TDWG:WIN	Windward Is.
1199448	TDWG:84	Brazil
1199448	TDWG:CLM	Colombia
1199448	TDWG:ECU	Ecuador
1199449	TDWG:WIN	Windward Is.
1199449	TDWG:84	Brazil
1199449	TDWG:CLM	Colombia
1199450	TDWG:WIN	Windward Is.
1199451	TDWG:84	Brazil
1199452	TDWG:CLM	Colombia
1199453	TDWG:CLM	Colombia
1199454	TDWG:VEN	Venezuela
1199454	TDWG:ECU	Ecuador
1199455	TDWG:ECU	Ecuador
1199456	TDWG:VEN	Venezuela
1199457	TDWG:ECU	Ecuador
1199458	TDWG:SUR	Surinam
1199458	TDWG:GUY	Guyana
1199458	TDWG:VEN	Venezuela
1199458	TDWG:CLC	Chile Central
1199458	TDWG:AGE	Argentina Northeast
1199458	TDWG:CLN	Chile North
1199458	TDWG:PAR	Paraguay
1199458	TDWG:URU	Uruguay
1199458	TDWG:40	Indian Subcontinent
1199458	TDWG:42	Malesia
1199458	TDWG:FRG	French Guiana
1199458	TDWG:MDG	Madagascar
1199458	TDWG:1	Europe
1199458	TDWG:7	Northern America
1199458	TDWG:36	China
1199458	TDWG:50	Australia
1199458	TDWG:EAS	Easter Is.
1199458	TDWG:80	Central America
1199458	TDWG:81	Caribbean
1199458	TDWG:84	Brazil
1199458	TDWG:BOL	Bolivia
1199458	TDWG:CLM	Colombia
1199458	TDWG:ECU	Ecuador
1199458	TDWG:PER	Peru
1199459	TDWG:1	Europe
1199459	TDWG:7	Northern America
1199459	TDWG:COS	Costa Rica
1199459	TDWG:ELS	El Salvador
1199459	TDWG:GUA	Guatemala
1199459	TDWG:HON	Honduras
1199459	TDWG:NIC	Nicaragua
1199459	TDWG:PAN	Panamá
1199459	TDWG:BAH	Bahamas
1199459	TDWG:CUB	Cuba
1199459	TDWG:DOM	Dominican Republic
1199459	TDWG:TRT	Trinidad-Tobago
1199459	TDWG:HAI	Haiti
1199459	TDWG:JAM	Jamaica
1199459	TDWG:PUE	Puerto Rico
1199459	TDWG:FRG	French Guiana
1199459	TDWG:URU	Uruguay
1199459	TDWG:40	Indian Subcontinent
1199459	TDWG:42	Malesia
1199459	TDWG:PAR	Paraguay
1199459	TDWG:CLC	Chile Central
1199459	TDWG:VEN	Venezuela
1199459	TDWG:GUY	Guyana
1199459	TDWG:SUR	Surinam
1199459	TDWG:36	China
1199459	TDWG:50	Australia
1199459	TDWG:EAS	Easter Is.
1199459	TDWG:84	Brazil
1199459	TDWG:BOL	Bolivia
1199459	TDWG:CLM	Colombia
1199459	TDWG:ECU	Ecuador
1199459	TDWG:PER	Peru
1199460	TDWG:SUR	Surinam
1199460	TDWG:GUY	Guyana
1199460	TDWG:VEN	Venezuela
1199460	TDWG:CLC	Chile Central
1199460	TDWG:PAR	Paraguay
1199460	TDWG:40	Indian Subcontinent
1199460	TDWG:FRG	French Guiana
1199460	TDWG:7	Northern America
1199460	TDWG:PHI	Philippines
1199460	TDWG:COS	Costa Rica
1199460	TDWG:ELS	El Salvador
1199460	TDWG:GUA	Guatemala
1199460	TDWG:BAH	Bahamas
1199460	TDWG:CUB	Cuba
1199460	TDWG:DOM	Dominican Republic
1199460	TDWG:HAI	Haiti
1199460	TDWG:JAM	Jamaica
1199460	TDWG:PUE	Puerto Rico
1199460	TDWG:36	China
1199460	TDWG:EAS	Easter Is.
1199460	TDWG:84	Brazil
1199460	TDWG:BOL	Bolivia
1199460	TDWG:CLM	Colombia
1199460	TDWG:ECU	Ecuador
1199460	TDWG:PER	Peru
1199461	TDWG:7	Northern America
1199461	TDWG:ELS	El Salvador
1199461	TDWG:GUA	Guatemala
1199461	TDWG:BAH	Bahamas
1199461	TDWG:CUB	Cuba
1199461	TDWG:DOM	Dominican Republic
1199461	TDWG:HAI	Haiti
1199461	TDWG:JAM	Jamaica
1199461	TDWG:PUE	Puerto Rico
1199461	TDWG:PAR	Paraguay
1199461	TDWG:CLC	Chile Central
1199461	TDWG:VEN	Venezuela
1199461	TDWG:36	China
1199461	TDWG:EAS	Easter Is.
1199461	TDWG:84	Brazil
1199461	TDWG:BOL	Bolivia
1199461	TDWG:CLM	Colombia
1199461	TDWG:ECU	Ecuador
1199461	TDWG:PER	Peru
1199462	TDWG:VEN	Venezuela
1199462	TDWG:7	Northern America
1199462	TDWG:DOM	Dominican Republic
1199463	TDWG:7	Northern America
1199469	TDWG:7	Northern America
1199470	TDWG:VEN	Venezuela
1199470	TDWG:MXT	Mexico Southeast
1199472	TDWG:DOM	Dominican Republic
1199473	TDWG:79	Mexico
1199473	TDWG:ELS	El Salvador
1199473	TDWG:GUA	Guatemala
1199473	TDWG:CLC	Chile Central
1199473	TDWG:PER	Peru
1199474	TDWG:PER	Peru
1199476	TDWG:ELS	El Salvador
1199477	TDWG:ELS	El Salvador
1199478	TDWG:GUA	Guatemala
1199479	TDWG:ELS	El Salvador
1199479	TDWG:GUA	Guatemala
1199480	TDWG:CLC	Chile Central
1199481	TDWG:79	Mexico
1199482	TDWG:CLM	Colombia
1199483	TDWG:CLM	Colombia
1199484	TDWG:CLM	Colombia
1199485	TDWG:CLM	Colombia
1199485	TDWG:ECU	Ecuador
1199487	TDWG:ECU	Ecuador
1199488	TDWG:CLM	Colombia
1199490	TDWG:CLM	Colombia
1199491	TDWG:CLM	Colombia
1199492	TDWG:CLM	Colombia
1199493	TDWG:CLM	Colombia
1199494	TDWG:BAH	Bahamas
1199494	TDWG:CUB	Cuba
1199494	TDWG:DOM	Dominican Republic
1199494	TDWG:HAI	Haiti
1199494	TDWG:JAM	Jamaica
1199494	TDWG:PUE	Puerto Rico
1199494	TDWG:36	China
1199497	TDWG:CUB	Cuba
1199499	TDWG:CUB	Cuba
1199500	TDWG:BAH	Bahamas
1199501	TDWG:JAM	Jamaica
1199503	TDWG:JAM	Jamaica
1199504	TDWG:36	China
1199505	TDWG:HAI	Haiti
1199507	TDWG:CUB	Cuba
1199508	TDWG:DOM	Dominican Republic
1199509	TDWG:DOM	Dominican Republic
1199509	TDWG:HAI	Haiti
1199510	TDWG:HAI	Haiti
1199511	TDWG:HAI	Haiti
1199512	TDWG:DOM	Dominican Republic
1199513	TDWG:DOM	Dominican Republic
1199514	TDWG:PUE	Puerto Rico
1199515	TDWG:8	Southern America
1199516	TDWG:ECU	Ecuador
1199517	TDWG:PER	Peru
1199518	TDWG:8	Southern America
1199519	TDWG:ECU	Ecuador
1199520	TDWG:CLM	Colombia
1199521	TDWG:ECU	Ecuador
1199521	TDWG:PER	Peru
1199523	TDWG:CLM	Colombia
1199525	TDWG:CLM	Colombia
1199526	TDWG:VEN	Venezuela
1199526	TDWG:EAS	Easter Is.
1199526	TDWG:BOL	Bolivia
1199526	TDWG:PER	Peru
1199527	TDWG:EAS	Easter Is.
1199528	TDWG:BOL	Bolivia
1199529	TDWG:BOL	Bolivia
1199530	TDWG:PER	Peru
1199531	TDWG:PER	Peru
1199532	TDWG:PER	Peru
1199533	TDWG:PER	Peru
1199534	TDWG:VEN	Venezuela
1199535	TDWG:PAR	Paraguay
1199536	TDWG:PAR	Paraguay
1199537	TDWG:8	Southern America
1199538	TDWG:8	Southern America
1199540	TDWG:84	Brazil
1199541	TDWG:CLM	Colombia
1199542	TDWG:CLM	Colombia
1199543	TDWG:CLM	Colombia
1199544	TDWG:CLM	Colombia
1199545	TDWG:CLM	Colombia
1199546	TDWG:CLM	Colombia
1199547	TDWG:CLM	Colombia
1199549	TDWG:CLM	Colombia
1199550	TDWG:CLM	Colombia
1199551	TDWG:CLM	Colombia
1199552	TDWG:CLM	Colombia
1199553	TDWG:CLM	Colombia
1199554	TDWG:CLM	Colombia
1199555	TDWG:CLM	Colombia
1199556	TDWG:8	Southern America
1199556	TDWG:40	Indian Subcontinent
1199557	TDWG:COS	Costa Rica
1199558	TDWG:COS	Costa Rica
1199559	TDWG:CLM	Colombia
1199559	TDWG:ECU	Ecuador
1199559	TDWG:PER	Peru
1199561	TDWG:ECU	Ecuador
1199563	TDWG:CLM	Colombia
1199564	TDWG:8	Southern America
1199567	TDWG:84	Brazil
1199568	TDWG:BOL	Bolivia
1199569	TDWG:BOL	Bolivia
1199570	TDWG:BOL	Bolivia
1199571	TDWG:BOL	Bolivia
1199572	TDWG:84	Brazil
1199573	TDWG:BOL	Bolivia
1199574	TDWG:PER	Peru
1199575	TDWG:84	Brazil
1199576	TDWG:PER	Peru
1199577	TDWG:PER	Peru
1199578	TDWG:VEN	Venezuela
1199579	TDWG:PER	Peru
1199580	TDWG:PER	Peru
1199581	TDWG:PER	Peru
1199582	TDWG:BOL	Bolivia
1199583	TDWG:GUY	Guyana
1199584	TDWG:CLM	Colombia
1199585	TDWG:ECU	Ecuador
1199586	TDWG:84	Brazil
1199589	TDWG:SUR	Surinam
1199592	TDWG:84	Brazil
1199593	TDWG:ECU	Ecuador
1199594	TDWG:84	Brazil
1199595	TDWG:CLM	Colombia
1199596	TDWG:BOL	Bolivia
1199597	TDWG:FRG	French Guiana
1199598	TDWG:CLM	Colombia
1199600	TDWG:PER	Peru
1199601	TDWG:PER	Peru
1199602	TDWG:84	Brazil
1199602	TDWG:CLM	Colombia
1199602	TDWG:ECU	Ecuador
1199602	TDWG:PER	Peru
1199603	TDWG:CLM	Colombia
1199605	TDWG:ECU	Ecuador
1199606	TDWG:COS	Costa Rica
1199608	TDWG:PER	Peru
1199609	TDWG:8	Southern America
1199610	TDWG:CLM	Colombia
1199611	TDWG:PER	Peru
1199612	TDWG:CLM	Colombia
1199613	TDWG:8	Southern America
1199614	TDWG:PER	Peru
1199615	TDWG:BZN	Brazil North
1199615	TDWG:CLM	Colombia
1199616	TDWG:CLM	Colombia
1199617	TDWG:CLM	Colombia
1199618	TDWG:BZN	Brazil North
1199618	TDWG:CLM	Colombia
1199619	TDWG:CLM	Colombia
1199620	TDWG:CLM	Colombia
1199620	TDWG:ECU	Ecuador
1199621	TDWG:BZN	Brazil North
1199622	TDWG:SUR	Surinam
1199623	TDWG:PER	Peru
1199624	TDWG:40	Indian Subcontinent
1199624	TDWG:84	Brazil
1199625	TDWG:40	Indian Subcontinent
1199625	TDWG:84	Brazil
1199631	TDWG:PHI	Philippines
1199632	TDWG:PHI	Philippines
1199633	TDWG:1	Europe
1199633	TDWG:COS	Costa Rica
1199633	TDWG:NIC	Nicaragua
1199633	TDWG:PAN	Panamá
1199633	TDWG:TRT	Trinidad-Tobago
1199633	TDWG:URU	Uruguay
1199633	TDWG:PAR	Paraguay
1199633	TDWG:SUR	Surinam
1199633	TDWG:VEN	Venezuela
1199633	TDWG:42	Malesia
1199633	TDWG:84	Brazil
1199633	TDWG:BOL	Bolivia
1199633	TDWG:CLM	Colombia
1199633	TDWG:ECU	Ecuador
1199633	TDWG:PER	Peru
1199634	TDWG:42	Malesia
